`№ п/п,Наименование,Единица измерения,Цена с НДС /руб
1.       ,Микросхема ADE-11X,шт,900-00 
2.       ,Микросхема AT24C16C-SSHM-T,шт,15-00 
3.       ,Микросхема CD4015BM96,шт, 20-00
4.       ,Микросхема CD4051BM96,шт, 17-00
5.       ,Микросхема CD4052BM96,шт, 17-00
6.       ,Микросхема CD4066BM96 SO14,шт, 17-00
7.       ,Микросхема DS1307Z,шт, 60-00
8.       ,Микросхема DS14C232TM,шт, 470-00
9.       ,Микросхема HEF4053BT.653,шт, 17-00
10.   ,Микросхема KP1043XA4,шт, 30-00
11.   ,Микросхема L7808CV,шт, 18-00
12.   ,Микросхема L78L05ACUTR,шт, 15-00
13.   ,Микросхема LM1881N DIP8,шт, 120-00
14.   ,Микросхема LM317T,шт, 25-00
15.   ,Микросхема LM321MF,шт, 45-00
16.   ,Микросхема LM324AM,шт, 60-00
17.   ,Микросхема LM358DR2G SOIC-8,шт, 5-00
18.   ,Микросхема LM392M,шт, 35-00
19.   ,Микросхема MAR3SM,шт, 370-00
20.   ,Микросхема MAR4SM,шт, 400-00
21.   ,Микросхема MC74AC74D,шт, 90-00
22.   ,Микросхема MC74AC04D,шт, 77-00
23.   ,Микросхема MC7805CTG,шт, 30-00
24.   ,Микросхема PIC16F628A-I/P,шт, 200-00
25.   ,Микросхема PIC16F876A-I/SP,шт, 350-00
26.   ,Микросхема PIC16F877A-I/L,шт, 900-00
27.   ,Микросхема SP485EN,шт, 100-00
28.   ,Микросхема TL082CDT,шт, 40-00
29.   ,Транзистор 2N5109,шт, 330-00
30.   ,Транзистор BC548C,шт, 30-00
31.   ,Транзистор BC548B,шт, 17-00
32.   ,Транзистор BC558,шт, 40-00
33.   ,Транзистор BC846,шт, 15-00
34.   ,Транзистор BC847,шт, 17-00
35.   ,Транзистор BC848,шт, 17-00
36.   ,Транзистор BC856,шт, 17-00
37.   ,Транзистор BD138,шт, 30-00
38.   ,Транзистор BFR540,шт, 50-00
39.   ,Транзистор BFR93A,шт, 25-00
40.   ,Транзистор PMBFJ310,шт, 65-00
41.   ,Микросхема AH202,шт,12500-00 
42.   ,Микросхема MAX3232EWE,шт, 500-00
43.   ,Симистор ВТА225-800В,шт, 100-00
44.   ,Транзистор MRF6VP3450,шт, 11000-00
